CGISAI,小区名称,小区ID,RAT,Frequency,经度,纬度,azmuith,SiteType,User Number,User segmentation1,Application,User segmentation2,Terminal Type,SiteName
6912A0013265C01,J65C01,1,4G,2100,117.06614,36.64805,0,0,23,Telco+OTT,抖音,,,JNLX0011-HWD391-FR01
6912A0013265C01,J65C01,1,4G,2100,117.06614,36.64805,0,1,33,省内不限量,王者荣耀,,,JNLX0011-HWD391-FR01
6912A0013265C01,J65C01,1,4G,2100,117.06614,36.64805,0,1,13,省内不限量,淘宝,,,JNLX0011-HWD391-FR01
6912A00131A5301,JA5301,2,4G,2100,117.065653,36.647515,340,1,20,国内不限量,抖音,,,JNLX0011-HWD390-FH01
6912A00131A5301,JA5301,2,4G,2100,117.065653,36.647515,340,1,75,省内不限量,抖音,,,JNLX0011-HWD390-FH01
6912A00131A5301,JA5301,2,4G,2100,117.065653,36.647515,340,1,30,Telco+OTT,王者荣耀,,,JNLX0011-HWD390-FH01
6912A00131A5302,JA5302,3,4G,2100,117.065653,36.647515,250,1,45,Telco+OTT,淘宝,,,JNLX0011-HWD390-FH01
6912A00131A5302,JA5302,3,4G,2100,117.065653,36.647515,130,1,15,国内不限量,王者荣耀,,,JNLX0011-HWD390-FH01
6912A00131A5302,JA5302,3,4G,2100,117.065653,36.647515,130,1,40,国内不限量,抖音,,,JNLX0011-HWD390-FH01
6912A00131A5302,JA5302,3,4G,2100,117.065653,36.647515,250,1,18,Telco+OTT,王者荣耀,,,JNLX0011-HWD390-FH01
6912A00131A5302,JA5302,3,4G,2100,117.065653,36.647515,130,1,45,省内不限量,抖音,,,JNLX0011-HWD390-FH01
6912A00131AD301,JAD301,1,4G,2100,117.065202,36.644659,0,1,405,国内不限量,头条,,,JNLX0447-HWD390-FHW02
6912A00131AD301,JAD301,1,4G,2100,117.065202,36.644659,0,1,87,Telco+OTT,微信,,,JNLX0447-HWD390-FHW02
6912A00131AD303,JAD303,3,4G,2100,117.065202,36.644659,210,1,37,Telco+OTT,抖音,,,JNLX0447-HWD390-FHW02
6912A00131AD303,JAD303,3,4G,2100,117.065202,36.644659,210,1,12,省内不限量,微信,,,JNLX0447-HWD390-FHW02
6912A001334820A,J4820A,1,4G,2100,117.065202,36.644659,0,0,2410,国内不限量,微信,,,JNLX0447-ZX8700-TH01
6912A0013348214,J48214,2,4G,2100,117.065202,36.644659,120,0,153,省内不限量,王者荣耀,,,JNLX0447-ZX8700-TH01
6912A001334821E,J4821E,3,4G,2100,117.065202,36.644659,240,1,62,Telco+OTT,抖音,,,JNLX0447-ZX8700-TH01
6912A0013332901,J32901,1,4G,2100,117.064813,36.642464,0,1,473,省内不限量,酷狗,,,JNLX0447-HWD391-F2RW02
6912A001333CB01,J3CB01,1,4G,2100,117.064813,36.642464,0,1,513,省内不限量,头条,,,JNLX0447-HWD391-FR04
6912A001333CB01,J3CB01,1,4G,2100,117.064813,36.642464,0,1,57,Telco+OTT,酷狗,,,JNLX0447-HWD391-FR04
6912A0013327A01,J27A01,1,4G,2100,117.06413,36.64156,50,1,68,Telco+OTT,微信,,,JNLX0447-HWD391-FH12
6912A0013327A02,J27A02,2,4G,2100,117.06413,36.64156,150,1,28,Telco+OTT,抖音,,,JNLX0447-HWD391-FH12
6912A0013327A02,J27A02,2,4G,2100,117.06413,36.64156,150,1,43,省内不限量,王者荣耀,,,JNLX0447-HWD391-FH12
6912A0013327A04,J27A04,4,4G,2100,117.06413,36.64156,50,1,325,国内不限量,淘宝,,,JNLX0447-HWD391-FH12
6912A001321D901,J1D901,1,4G,2100,117.063736,36.652958,0,1,12,Telco+OTT,酷狗,,,JNLX0397-HWD390-FHD03
6912A001321D902,J1D902,2,4G,2100,117.063736,36.652958,120,1,90,省内不限量,抖音,,,JNLX0397-HWD390-FHD03
6912A001321D903,J1D903,3,4G,2100,117.063736,36.652958,240,1,188,Telco+OTT,微信,,,JNLX0397-HWD390-FHD03
6912A001321D903,J1D903,3,4G,2100,117.063736,36.652958,240,1,10,Telco+OTT,抖音,,,JNLX0397-HWD390-FHD03
6912A001321D903,J1D903,3,4G,2100,117.063736,36.652958,240,1,85,省内不限量,微信,,,JNLX0397-HWD390-FHD03
6912A001331F601,J1F601,1,4G,2100,117.06247,36.65345,0,1,58,Telco+OTT,酷狗,,,JNLX0397-HWD391-FR10
6912A001331F601,J1F601,1,4G,2100,117.06247,36.65345,0,1,37,Telco+OTT,抖音,,,JNLX0397-HWD391-FR10
6912A001331F601,J1F601,1,4G,2100,117.06247,36.65345,0,0,773,省内不限量,淘宝,,,JNLX0397-HWD391-FR10
6912A00131ACA03,JACA03,3,4G,2100,117.062353,36.656991,240,1,42,省内不限量,抖音,,,JNLX0397-HWD390-FHD01
6912A00131ACA04,JACA04,4,4G,2100,117.062353,36.656991,340,1,35,Telco+OTT,微信,,,JNLX0397-HWD390-FHD01
6912A001327B101,J7B101,1,4G,2100,117.061774,36.649224,0,1,133,国内不限量,头条,,,JNLX0022-HWD391-FR01
6912A001327B101,J7B101,1,4G,2100,117.061774,36.649224,0,1,33,Telco+OTT,微信,,,JNLX0022-HWD391-FR01
6912A001327B101,J7B101,1,4G,2100,117.061774,36.649224,0,1,17,省内不限量,王者荣耀,,,JNLX0022-HWD391-FR01
6912A00131A8B01,JA8B01,1,4G,2100,117.06126,36.64469,0,1,23,国内不限量,王者荣耀,,,JNLX0153-HWD390-FH01
6912A00131A8B01,JA8B01,1,4G,2100,117.06126,36.64469,0,1,62,Telco+OTT,王者荣耀,,,JNLX0153-HWD390-FH01
6912A00131A8B02,JA8B02,2,4G,2100,117.06126,36.64469,150,0,50,Telco+OTT,王者荣耀,,,JNLX0153-HWD390-FH01
6912A00131A8B02,JA8B02,2,4G,2100,117.06126,36.64469,150,1,2,省内不限量,抖音,,,JNLX0153-HWD390-FH01
6912A00131A8B03,JA8B03,3,4G,2100,117.06126,36.64469,240,1,143,国内不限量,酷狗,,,JNLX0153-HWD390-FH01
6912A00131A8B03,JA8B03,3,4G,2100,117.06126,36.64469,240,1,42,省内不限量,酷狗,,,JNLX0153-HWD390-FH01
6912A00131A8B03,JA8B03,3,4G,2100,117.06126,36.64469,240,1,15,Telco+OTT,王者荣耀,,,JNLX0153-HWD390-FH01
6912A00131A8B03,JA8B03,3,4G,2100,117.06126,36.64469,240,1,293,省内不限量,抖音,,,JNLX0153-HWD390-FH01
6912A001333B001,J3B001,1,4G,2100,117.060691,36.642747,0,1,153,省内不限量,王者荣耀,,,JNLX0447-HWD391-FR03
6912A001333B001,J3B001,1,4G,2100,117.060691,36.642747,0,1,30,Telco+OTT,抖音,,,JNLX0447-HWD391-FR03
6912A001333B001,J3B001,1,4G,2100,117.060691,36.642747,0,0,53,省内不限量,淘宝,,,JNLX0447-HWD391-FR03
6912A001333B001,J3B001,1,4G,2100,117.060691,36.642747,0,0,43,国内不限量,微信,,,JNLX0447-HWD391-FR03
6912A00131AA601,JAA601,1,4G,2100,117.060009,36.649722,340,1,262,Telco+OTT,微信,,,JNLX0022-HWD390-FHD03
6912A00131AA602,JAA602,2,4G,2100,117.060009,36.649722,70,1,133,省内不限量,抖音,,,JNLX0022-HWD390-FHD03
6912A00131AA603,JAA603,3,4G,2100,117.060009,36.649722,180,1,7,Telco+OTT,王者荣耀,,,JNLX0022-HWD390-FHD03
6912A00131DE001,JDE001,1,4G,2100,117.05929,36.64207,310,1,37,省内不限量,微信,,,JNLX0447-HWD390-FHD08
6912A00131DE002,JDE002,2,4G,2100,117.05929,36.64207,140,1,10,Telco+OTT,抖音,,,JNLX0447-HWD390-FHD08
6912A00131DE002,JDE002,2,4G,2100,117.05929,36.64207,140,1,13,省内不限量,淘宝,,,JNLX0447-HWD390-FHD08
6912A00131DE003,JDE003,3,4G,2100,117.05929,36.64207,220,1,28,Telco+OTT,头条,,,JNLX0447-HWD390-FHD08
